credits,term,type,code,name,core,or,exclude,group
30,Autumn+Spring,Practice,MA2800,Creative Digital and Social Media,core,,,
30,Autumn+Spring,Practice,MA2023,Animation & Visual Effects,option,,,
30,Autumn+Spring,Practice,MA2004,Digital Documentary,option,,,
30,Autumn+Spring,Practice,MA2807,Virtual Production Industry & Workflows,option,,,
30,Autumn+Spring,Practice,MA2022,Creative Sound Art & Design,option,,,
30,Autumn+Spring,Practice,MA2027/8,Editing 1 & 2,option,,,
30,Autumn+Spring,Practice,MA2005,Screenwriting,option,,,
30,Autumn+Spring,Practice,MA2006,Producing Film & Television,option,,,
15,Autumn,Practice,MA2806,Data Journalism and Visualisation,core,,,
15,Autumn,Theory,MA2801,Digital Aesthetics,core,,,
15,Autumn,Theory,MA2050,Videogames Politics Culture History,option,,,
15,Autumn,Theory,MA2066,Post-Classical Hollywood,option,,,
15,Autumn,Theory,MA2067,Television Histories,option,,,
15,Spring,Practice,MA2803,Indie and Mobile Game Design,option,,,
15,Spring,Practice,MA2080,Creative Industries,option,,MA2057,
15,Autumn,Theory,MA20XX,Race and Power in Film and Media,option,,,
15,Spring,Practice,MA2015,Experimental Filmmaking,option,,,
15,Spring,Practice,MA2052,Documentary,option,,MA2057,
15,Spring,Practice,MA2057,Hitchcock (not with MA2052/MA2080),option,,MA2052/MA2080,
