credits,term,type,code,name,core,or,exclude,group,moodleUrl
,,,,,,,,,
,,,,,,,,,
30,Autumn+Spring,Practice,MA3811,"""Entrepreneurship, Creative Thinking, Digital Marketing""",core,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229747&inpopup=1
30,Autumn+Spring,Practice,MA3801,Advanced Digital Media,core,MA3801/MA3061,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229710&inpopup=1
30,Autumn+Spring,Theory,MA3061,Dissertation,core,MA3061/MA3801,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229709&inpopup=1
30,Autumn+Spring,Practice,MA3007,Advanced Editing,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229744&inpopup=1
30,Autumn+Spring,Practice,MA3807,Advanced Virtual Production,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229746&inpopup=1
30,Autumn+Spring,Practice,MA3178,Collaboration Project,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229745&inpopup=1
30,Autumn+Spring,Practice,MA3005,Advanced Screenwriting,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229731&inpopup=1
30,Autumn+Spring,Practice,MA3006,Producing Film & TV (must be taken with MA3178),option,,,MA3178,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229749&inpopup=1
,,,,,,,,,
30,Autumn,Practice,MA3023,Animation & Visual Effects 1,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229727&inpopup=1
30,Autumn,Practice,MA3028,Promo 1,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229728&inpopup=1
15,Autumn,Practice,MA3022,Creative Sound Art & Design,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1231048&inpopup=1
15,Autumn,Practice,MA3004,Documentary 1,option,MA3104,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229724&inpopup=1
15,Autumn,Theory,MA3044,Music Video,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229718&inpopup=1
15,Autumn,Theory,FR3126,Redefining the Erotic in Contemporary French Literature and Film,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1230949&inpopup=1
15,Autumn,Theory,GM3134,National Socialism and the Third Reich in German film and visual culture from 1933 to the present,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1230950&inpopup=1
15,Autumn,Theory,MA3171,Contemporary British Cinema,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1231695&inpopup=1
15,Autumn,Theory,SN3118,Seducing the Nation: Spanish Cinema 1940s to 1980s,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1230953&inpopup=1
,,,,,,,,,
15,Spring,Theory,MA3033,Experimental Interface Design,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229618&inpopup=1
15,Spring,Practice,MA3806,"""Digital Images, People, AI""",option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229723&inpopup=1
30,Spring,Practice,MA3024,Animation & Visual Effects 2 (must be taken with MA3023),option,,,MA3023,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229753&inpopup=1
30,Spring,Practice,MA3122,Creative Sound to Picture (must be taken with MA3022),option,,,MA3022,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1231049&inpopup=1
15,Spring,Practice,MA3104,Documentary 2,option,MA3004,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229724&inpopup=1
15,Spring,Theory,MA3050,Beyond Documentary,option,,,,https://moodle.royalholloway.ac.uk/mod/page/view.php?id=1229712&inpopup=1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
