credits,term,type,code,name,core,or,exclude,group
30,Autumn+Spring,Practice,MA3811,"Entrepreneurship, Creative Thinking, Digital Marketing",core,,,
30,Autumn+Spring,Practice,MA3801,Advanced Digital Media,core,MA3801/MA3061,,
30,Autumn+Spring,Theory,MA3061,Dissertation,core,MA3061/MA3801,,
30,Autumn+Spring,Practice,MA3807,Advanced Virtual Production,option,,,
30,Autumn+Spring,Practice,MA3007,Advanced Editing,option,,,
30,Autumn+Spring,Practice,MA3122,Creative Sound to Picture,option,,,MA3022
30,Autumn+Spring,Practice,MA3005,Advanced Screenwriting,option,,MA3807,
30,Autumn+Spring,Practice,MA3006,Producing Film & TV,option,,,MA31XX
30,Autumn+Spring,Practice,MA31XX,Collaboration Project,option,,,
15,Autumn,Practice,MA3020,Contemporary Digital Practice 1,option,,,
30,Autumn,Practice,MA3023,Animation & Visual Effects 1,option,,,
30,Autumn,Practice,MA3028,Promo 1,option,,,
30,Autumn,Practice,MA3004,Documentary 1,option,,MA3005/MA3807,
30,Autumn,Practice,MA3022,Creative Sound Art & Design,option,,,MA3122
15,Autumn,Theory,MA3050,Beyond Documentary,option,,,
15,Autumn,Theory,MA3081,Film Style & Interpretation: Realism,option,,,
15,Autumn,Theory,MA3086,Political Cinema,option,,,
15,Spring,Theory,MA3806,"Digital Images, People, AI",option,,,
15,Spring,Practice,MA2806,Data Visualisation - could also be MA2013 Interface Narratives...,option,,,
15,Spring,Practice,MA3024,Animation & Visual Effects 2,option,,,MA3023
15,Spring,Practice,MA3120,Contemporary Digital Practice 2,option,,,
30,Spring,Practice,MA3102,Documentary 2,option,,MA3005/MA3807,
15,Spring,Theory,MA3044,Music Video,option,,,
15,Spring,Theory,MA3055,Film Form,option,,,
15,Spring,Theory,MA3092,Poetics of Contemporary TV,option,,,
